game_id,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,4,125,42,56967,18,119,GREEN,false,13,0,5,5,GOBLIN:6;GOLEM:4;MAGE:9;SPIDER:1,ASSASSIN:8;GOBLIN:6;SCORPION_RIDER:6;SPIDER:1
2,4,125,7961,49588,41,89,BLUE,false,0,4,5,5,ASSASSIN:4;GOBLIN:1;GOLEM:3;SCORPION_RIDER:8,ASSASSIN:4;MAGE:4;SCORPION_RIDER:3;SPIDER:15
3,4,125,15880,57509,17,62,BLUE,false,0,7,4,7,SCORPION_RIDER:5;SPIDER:28,ARCHER:5;GARGOYLE:6;GOBLIN:3;GOLEM:4;SCORPION_RIDER:1
4,4,125,23799,33370,44,230,GREEN,false,12,0,8,8,GARGOYLE:3;GOBLIN:12;GOLEM:2;MAGE:6;SPIDER:2,ASSASSIN:2;GARGOYLE:3;GOBLIN:16;SCORPION_RIDER:1;SPIDER:11
5,4,125,31718,42315,9,58,BLUE,false,0,22,5,4,ASSASSIN:10;GOBLIN:1;SCORPION_RIDER:4;SPIDER:6,ARCHER:19;ASSASSIN:4
6,4,125,39637,17528,52,122,BLUE,false,0,6,6,4,GOBLIN:10;GOLEM:3;MAGE:2;SCORPION_RIDER:6;SPIDER:1,ASSASSIN:2;GOLEM:4;MAGE:10
7,4,125,47556,26473,16,66,GREEN,false,13,0,5,5,ASSASSIN:2;GOBLIN:13;GOLEM:3;SPIDER:14,ARCHER:1;ASSASSIN:6;GOBLIN:11;SPIDER:15
8,4,125,55475,1566,18,98,GREEN,false,13,0,6,6,ARCHER:12;ASSASSIN:3;GOBLIN:4;SCORPION_RIDER:3;SPIDER:2,ARCHER:3;GARGOYLE:8;MAGE:3;SPIDER:11
9,4,125,63394,10511,20,187,GREEN,false,13,0,7,7,ARCHER:7;GARGOYLE:3;SCORPION_RIDER:8;SPIDER:1,GARGOYLE:5;MAGE:12;SPIDER:2
10,4,125,71313,116796,24,119,GREEN,false,9,0,7,4,GARGOYLE:1;GOBLIN:5;GOLEM:3;MAGE:4;SCORPION_RIDER:5;SPIDER:1,ASSASSIN:4;MAGE:7;SCORPION_RIDER:6
