game_id,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,4,125,42,56967,16,99,GREEN,false,7,0,4,6,GOBLIN:12;MAGE:8;SCORPION_RIDER:1;SPIDER:8,ARCHER:1;ASSASSIN:7;GOBLIN:1;SCORPION_RIDER:4;SPIDER:12
2,4,125,7961,49588,26,37,GREEN,false,4,0,3,3,ASSASSIN:8;MAGE:8;SPIDER:4,ASSASSIN:7;GARGOYLE:4;SCORPION_RIDER:6
3,4,125,15880,57509,12,44,GREEN,false,9,0,3,3,ASSASSIN:6;GARGOYLE:6;SCORPION_RIDER:5,ASSASSIN:15;GOLEM:2
4,4,125,23799,33370,5,24,BLUE,false,0,10,3,2,MAGE:7;SCORPION_RIDER:4;SPIDER:14,ASSASSIN:16
5,4,125,31718,42315,25,78,BLUE,false,0,8,3,5,ASSASSIN:8;MAGE:8;SPIDER:4,ARCHER:9;GARGOYLE:7;GOBLIN:10
6,4,125,39637,17528,28,88,GREEN,false,9,0,4,4,MAGE:8;SCORPION_RIDER:7;SPIDER:4,ARCHER:4;GARGOYLE:4;GOBLIN:9;MAGE:7
7,4,125,47556,26473,9,57,GREEN,false,3,0,5,3,ARCHER:6;ASSASSIN:9;GOBLIN:1;SPIDER:9,ASSASSIN:8;MAGE:8;SCORPION_RIDER:1
8,4,125,55475,1566,14,67,BLUE,false,0,3,3,3,ASSASSIN:8;MAGE:8;SPIDER:4,MAGE:16;SPIDER:4
9,4,125,63394,10511,29,98,BLUE,false,0,6,4,3,ARCHER:2;GOBLIN:1;MAGE:16,ASSASSIN:9;MAGE:8
10,4,125,71313,116796,201,86,,true,4,1,4,3,ASSASSIN:7;GARGOYLE:5;GOLEM:4,ASSASSIN:8;GOBLIN:4;MAGE:8
11,4,125,79232,125741,11,32,BLUE,false,0,4,3,3,ASSASSIN:12;SPIDER:13,GOLEM:2;MAGE:8;SCORPION_RIDER:6
12,4,125,87151,101058,15,50,BLUE,false,0,9,3,2,MAGE:16;SPIDER:4,ASSASSIN:16
13,4,125,95070,110067,21,76,BLUE,false,0,13,3,3,MAGE:8;SCORPION_RIDER:5;SPIDER:9,GOLEM:1;MAGE:16
14,4,125,102989,85216,6,41,GREEN,false,18,0,3,3,ARCHER:9;SCORPION_RIDER:10,ARCHER:8;ASSASSIN:8;MAGE:4
15,4,125,110908,94097,9,52,BLUE,false,0,6,3,4,GOBLIN:9;MAGE:8;SCORPION_RIDER:5,ARCHER:7;GARGOYLE:1;SCORPION_RIDER:5;SPIDER:14
16,4,125,118827,69254,8,40,GREEN,false,14,0,3,3,ARCHER:8;ASSASSIN:7;SPIDER:12,ASSASSIN:8;MAGE:8;SPIDER:4
17,4,125,126746,78263,21,42,BLUE,false,0,9,2,4,ASSASSIN:8;MAGE:8,GARGOYLE:10;SPIDER:18
18,4,125,134665,184484,23,56,BLUE,false,0,15,3,3,GOLEM:8;SPIDER:15,ARCHER:8;GOBLIN:12;SCORPION_RIDER:6
19,4,125,142584,193109,7,41,BLUE,false,0,18,3,3,GOBLIN:11;MAGE:13,ARCHER:9;ASSASSIN:8;SCORPION_RIDER:3
20,4,125,150503,169290,11,41,BLUE,false,0,15,3,4,ASSASSIN:8;MAGE:8;SPIDER:4,ARCHER:10;ASSASSIN:8;GOBLIN:6
21,4,125,158422,177275,13,38,BLUE,false,0,10,3,3,ARCHER:6;ASSASSIN:8;SPIDER:13,ASSASSIN:8;GOBLIN:12;SCORPION_RIDER:4
