game_id,legion_id,team,unit_type,start_x,start_y,start_units,end_units,damage_dealt,damage_received,team_won
1,GREEN_1,GREEN,GARGOYLE,2,-3,6,6,90.00,47.00,true
1,GREEN_2,GREEN,GOLEM,1,-2,3,3,56.00,39.00,true
1,GREEN_3,GREEN,SPIDER,1,-3,1,0,0.00,4.00,true
1,BLUE_4,BLUE,SCORPION_RIDER,-1,2,5,0,47.00,90.00,false
1,BLUE_5,BLUE,ARCHER,-2,2,4,0,42.00,32.00,false
1,BLUE_6,BLUE,GARGOYLE,0,3,1,0,0.00,16.00,false
1,BLUE_7,BLUE,GOBLIN,-3,3,1,0,1.00,8.00,false
2,GREEN_1,GREEN,GARGOYLE,2,-3,6,2,95.00,127.00,true
2,GREEN_2,GREEN,GOLEM,1,-2,3,0,51.00,78.00,true
2,GREEN_3,GREEN,SPIDER,1,-3,1,0,0.00,4.00,true
2,BLUE_4,BLUE,SCORPION_RIDER,-1,2,5,0,100.00,90.00,false
2,BLUE_5,BLUE,ARCHER,-2,2,4,0,109.00,32.00,false
2,BLUE_6,BLUE,GARGOYLE,0,3,1,0,0.00,16.00,false
2,BLUE_7,BLUE,GOBLIN,-3,3,1,0,0.00,8.00,false
3,GREEN_1,GREEN,MAGE,1,-3,7,6,95.00,22.00,true
3,GREEN_2,GREEN,SPIDER,0,-3,8,0,16.00,38.00,true
3,BLUE_3,BLUE,SPIDER,-2,2,16,0,38.00,66.00,false
3,BLUE_4,BLUE,SPIDER,0,3,9,0,22.00,45.00,false
4,GREEN_1,GREEN,MAGE,1,-3,7,5,136.00,32.00,true
4,GREEN_2,GREEN,SPIDER,0,-3,8,0,14.00,32.00,true
4,BLUE_3,BLUE,SPIDER,-2,2,16,0,64.00,87.00,false
4,BLUE_4,BLUE,SPIDER,0,3,9,0,0.00,63.00,false
5,GREEN_1,GREEN,GOBLIN,0,-2,12,3,127.00,93.00,true
5,GREEN_2,GREEN,GOLEM,0,-3,3,0,50.00,78.00,true
5,GREEN_3,GREEN,GARGOYLE,2,-3,1,0,3.00,16.00,true
5,BLUE_4,BLUE,GOLEM,-1,2,4,0,83.00,104.00,false
5,BLUE_5,BLUE,SCORPION_RIDER,-2,3,4,0,102.00,72.00,false
5,BLUE_6,BLUE,SPIDER,-3,3,1,0,2.00,4.00,false
6,GREEN_1,GREEN,GOBLIN,0,-2,12,0,80.00,96.00,false
6,GREEN_2,GREEN,GOLEM,0,-3,3,0,51.00,78.00,false
6,GREEN_3,GREEN,GARGOYLE,2,-3,1,0,0.00,16.00,false
6,BLUE_4,BLUE,GOLEM,-1,2,4,3,94.00,45.00,true
6,BLUE_5,BLUE,SCORPION_RIDER,-2,3,4,0,96.00,86.00,true
6,BLUE_6,BLUE,SPIDER,-3,3,1,1,0.00,0.00,true
7,GREEN_1,GREEN,ARCHER,0,-3,7,0,36.00,56.00,false
7,GREEN_2,GREEN,ASSASSIN,3,-3,4,0,4.00,32.00,false
7,GREEN_3,GREEN,SPIDER,1,-3,1,0,0.00,4.00,false
7,BLUE_4,BLUE,GOBLIN,-1,3,10,10,32.00,8.00,true
7,BLUE_5,BLUE,ARCHER,0,3,7,5,60.00,28.00,true
7,BLUE_6,BLUE,SPIDER,-2,3,1,0,0.00,4.00,true
8,GREEN_1,GREEN,ARCHER,0,-3,7,0,46.00,56.00,false
8,GREEN_2,GREEN,ASSASSIN,3,-3,4,0,28.00,32.00,false
8,GREEN_3,GREEN,SPIDER,1,-3,1,0,2.00,4.00,false
8,BLUE_4,BLUE,GOBLIN,-1,3,10,7,42.00,34.00,true
8,BLUE_5,BLUE,ARCHER,0,3,7,3,50.00,42.00,true
8,BLUE_6,BLUE,SPIDER,-2,3,1,1,0.00,0.00,true
9,GREEN_1,GREEN,GOBLIN,2,-3,12,12,26.00,33.00,true
9,GREEN_2,GREEN,ARCHER,1,-2,6,0,62.00,48.00,true
9,GREEN_3,GREEN,SPIDER,3,-3,1,0,0.00,4.00,true
9,BLUE_4,BLUE,MAGE,1,2,7,0,68.00,56.00,false
9,BLUE_5,BLUE,SPIDER,-3,2,7,0,17.00,28.00,false
9,BLUE_6,BLUE,SPIDER,-1,3,1,0,0.00,4.00,false
10,GREEN_1,GREEN,GOBLIN,2,-3,12,12,52.00,34.00,true
10,GREEN_2,GREEN,ARCHER,1,-2,6,6,36.00,3.00,true
10,GREEN_3,GREEN,SPIDER,3,-3,1,0,0.00,4.00,true
10,BLUE_4,BLUE,MAGE,1,2,7,0,41.00,56.00,false
10,BLUE_5,BLUE,SPIDER,-3,2,7,0,0.00,28.00,false
10,BLUE_6,BLUE,SPIDER,-1,3,1,0,0.00,4.00,false
11,GREEN_1,GREEN,GARGOYLE,3,-3,5,0,83.00,80.00,false
11,GREEN_2,GREEN,ASSASSIN,-1,-2,5,0,48.00,48.00,false
11,GREEN_3,GREEN,SPIDER,3,-2,1,0,0.00,4.00,false
11,BLUE_4,BLUE,SCORPION_RIDER,0,2,6,1,121.00,99.00,true
11,BLUE_5,BLUE,ASSASSIN,-3,3,3,0,9.00,24.00,true
11,BLUE_6,BLUE,SPIDER,-2,3,2,0,2.00,8.00,true
12,GREEN_1,GREEN,GARGOYLE,3,-3,5,0,84.00,80.00,true
12,GREEN_2,GREEN,ASSASSIN,-1,-2,5,1,62.00,46.00,true
12,GREEN_3,GREEN,SPIDER,3,-2,1,0,0.00,4.00,true
12,BLUE_4,BLUE,SCORPION_RIDER,0,2,6,0,110.00,114.00,false
12,BLUE_5,BLUE,ASSASSIN,-3,3,3,0,18.00,24.00,false
12,BLUE_6,BLUE,SPIDER,-2,3,2,0,2.00,8.00,false
