game_id,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,3,75,42,56967,11,113,BLUE,false,0,13,5,4,ARCHER:3;ASSASSIN:3;GOBLIN:1;GOLEM:2;MAGE:2,GOBLIN:14;SCORPION_RIDER:4
2,3,75,7961,49588,37,92,BLUE,false,0,2,5,5,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8,GARGOYLE:2;GOLEM:4;SPIDER:7
3,3,75,15880,57509,44,122,GREEN,false,4,0,3,6,GOBLIN:3;SCORPION_RIDER:8,ARCHER:4;GARGOYLE:4;GOBLIN:5;GOLEM:1
4,3,75,23799,33370,11,22,BLUE,false,0,12,4,2,SCORPION_RIDER:1;SPIDER:22,GOLEM:3;SPIDER:15
5,3,75,31718,42315,5,17,BLUE,false,0,16,4,2,ARCHER:6;ASSASSIN:5;GOLEM:1,ARCHER:10;SPIDER:8
6,3,75,39637,17528,24,73,GREEN,false,8,0,6,5,ARCHER:4;GARGOYLE:4;GOLEM:1;MAGE:1;SPIDER:3,ASSASSIN:1;GARGOYLE:5;GOBLIN:2;MAGE:1;SPIDER:6
7,3,75,47556,26473,8,34,BLUE,false,0,6,4,3,GOBLIN:2;MAGE:3;SCORPION_RIDER:6,ARCHER:8;MAGE:5
8,3,75,55475,1566,16,36,GREEN,false,8,0,5,2,ASSASSIN:1;GOBLIN:1;GOLEM:2;MAGE:6;SPIDER:1,MAGE:5;SCORPION_RIDER:5
9,3,75,63394,10511,22,32,GREEN,false,7,0,5,2,GOLEM:1;MAGE:5;SCORPION_RIDER:3;SPIDER:2,GARGOYLE:6;SPIDER:11
10,3,75,71313,116796,29,31,BLUE,false,0,9,4,4,ASSASSIN:1;GARGOYLE:6;SCORPION_RIDER:3,GOBLIN:3;MAGE:7;SCORPION_RIDER:2
11,3,75,79232,125741,25,33,BLUE,false,0,2,3,3,GARGOYLE:6;GOLEM:2;SPIDER:4,ARCHER:1;ASSASSIN:4;SCORPION_RIDER:5
12,3,75,87151,101058,5,12,BLUE,false,0,13,2,3,ASSASSIN:6;SPIDER:11,ARCHER:13;GOLEM:1
13,3,75,95070,110067,15,39,BLUE,false,0,8,4,4,GOBLIN:2;MAGE:6;SCORPION_RIDER:3;SPIDER:1,ARCHER:8;MAGE:2;SCORPION_RIDER:2;SPIDER:1
14,3,75,102989,85216,22,31,GREEN,false,5,0,4,4,ARCHER:5;ASSASSIN:4;SPIDER:7,GOBLIN:12;GOLEM:2;MAGE:2;SPIDER:1
15,3,75,110908,94097,12,38,GREEN,false,5,0,4,4,ASSASSIN:1;MAGE:4;SCORPION_RIDER:5,GARGOYLE:2;MAGE:6;SPIDER:6
