game_id,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
96,4,125,752347,762998,31,347,BLUE,false,0,10,5,8,GARGOYLE:2;GOLEM:3;SCORPION_RIDER:3;SPIDER:19,ARCHER:2;ASSASSIN:4;GOBLIN:1;GOLEM:2;MAGE:3;SPIDER:14
97,4,125,760266,739175,15,83,BLUE,false,0,14,7,5,ASSASSIN:5;GARGOYLE:4;GOBLIN:8;GOLEM:3;MAGE:1,ARCHER:2;ASSASSIN:8;GARGOYLE:3;SCORPION_RIDER:1;SPIDER:10
98,4,125,768185,747028,20,129,GREEN,false,11,0,8,7,ARCHER:9;ASSASSIN:9;GOBLIN:1;MAGE:1;SPIDER:2,ARCHER:4;GARGOYLE:8;GOBLIN:1;SPIDER:15
99,4,125,776104,723205,13,114,BLUE,false,0,23,6,5,GARGOYLE:3;GOBLIN:14;GOLEM:6,ARCHER:12;GOBLIN:11;MAGE:1;SCORPION_RIDER:3
100,4,125,784023,731194,30,103,GREEN,false,14,0,4,5,ARCHER:10;ASSASSIN:7;SCORPION_RIDER:3,GARGOYLE:10;MAGE:1;SCORPION_RIDER:6
101,4,125,791942,838443,15,120,BLUE,false,0,16,6,5,ARCHER:4;ASSASSIN:8;GOLEM:2;SCORPION_RIDER:3;SPIDER:1,ARCHER:11;ASSASSIN:5;GARGOYLE:2;GOBLIN:3;GOLEM:1
102,4,125,799861,846552,68,205,GREEN,false,3,0,7,4,ARCHER:6;GARGOYLE:4;GOBLIN:5;SCORPION_RIDER:4;SPIDER:6,ARCHER:4;ASSASSIN:1;SCORPION_RIDER:12
103,4,125,807780,822729,201,224,,true,2,2,7,6,ARCHER:5;ASSASSIN:4;GARGOYLE:2;GOLEM:4;MAGE:2;SPIDER:1,ARCHER:5;GARGOYLE:4;GOBLIN:5;GOLEM:1;SPIDER:15
104,4,125,815699,830718,22,150,GREEN,false,13,0,6,6,ARCHER:9;GARGOYLE:5;GOBLIN:11;MAGE:1;SPIDER:1,ASSASSIN:3;GARGOYLE:5;GOBLIN:9;GOLEM:2;MAGE:2;SCORPION_RIDER:1
105,4,125,823618,806895,38,109,BLUE,false,0,6,4,8,ASSASSIN:5;GARGOYLE:6;GOBLIN:12;GOLEM:1,ASSASSIN:5;GARGOYLE:2;GOBLIN:12;MAGE:3;SCORPION_RIDER:2;SPIDER:1
106,4,125,831537,814748,29,72,GREEN,false,12,0,4,4,GARGOYLE:5;MAGE:10;SPIDER:6,GARGOYLE:5;SCORPION_RIDER:11
107,4,125,839456,790925,19,146,BLUE,false,0,19,6,6,ARCHER:2;ASSASSIN:4;GOBLIN:19;GOLEM:3,ARCHER:4;GOBLIN:18;SPIDER:17
108,4,125,847375,798882,14,87,GREEN,false,17,0,7,5,ARCHER:1;ASSASSIN:6;GOBLIN:15;SPIDER:11,ASSASSIN:13;GOLEM:1;MAGE:1;SCORPION_RIDER:2
109,4,125,855294,905811,14,128,GREEN,false,17,0,4,6,ARCHER:10;SCORPION_RIDER:9;SPIDER:1,ARCHER:7;MAGE:1;SCORPION_RIDER:8;SPIDER:6
110,4,125,863213,914752,15,98,BLUE,false,0,18,5,7,GARGOYLE:10;MAGE:7;SPIDER:2,ARCHER:16;GARGOYLE:3;GOBLIN:1;SPIDER:7
111,4,125,871132,889969,12,89,GREEN,false,15,0,4,7,ARCHER:12;ASSASSIN:1;GARGOYLE:4;GOBLIN:10,ARCHER:10;GOBLIN:9;SCORPION_RIDER:6
112,4,125,879051,898918,15,90,BLUE,false,0,12,5,6,ARCHER:6;ASSASSIN:10;GARGOYLE:2;GOLEM:1,ARCHER:1;GARGOYLE:4;GOLEM:2;SCORPION_RIDER:9
113,4,125,886970,874007,7,59,BLUE,false,0,20,5,6,ARCHER:2;ASSASSIN:8;GOBLIN:4;SPIDER:15,ARCHER:14;GARGOYLE:1;GOBLIN:2;GOLEM:1;SCORPION_RIDER:4
114,4,125,894889,882948,51,142,BLUE,false,0,10,6,7,ASSASSIN:2;GARGOYLE:10;GOBLIN:1;SPIDER:12,ARCHER:3;ASSASSIN:3;GARGOYLE:6;MAGE:4;SCORPION_RIDER:2;SPIDER:1
115,4,125,902808,858165,18,196,BLUE,false,0,7,7,8,ARCHER:5;GOBLIN:4;GOLEM:2;SCORPION_RIDER:1;SPIDER:20,ARCHER:7;ASSASSIN:3;GOBLIN:5;MAGE:3;SCORPION_RIDER:4
116,4,125,910727,867114,35,117,BLUE,false,0,18,5,5,ARCHER:4;ASSASSIN:5;GOBLIN:7;GOLEM:4;MAGE:1,ASSASSIN:12;GOBLIN:10;SCORPION_RIDER:1;SPIDER:1
117,4,125,918646,973531,36,188,GREEN,false,12,0,7,5,ARCHER:4;GARGOYLE:5;SCORPION_RIDER:5;SPIDER:10,ASSASSIN:4;GARGOYLE:5;GOLEM:2;SPIDER:14
118,4,125,926565,982472,26,117,GREEN,false,4,0,6,6,ARCHER:18;GARGOYLE:1;GOBLIN:6;SCORPION_RIDER:1,ARCHER:11;GOBLIN:6;GOLEM:1;SPIDER:14
119,4,125,934484,957689,13,194,BLUE,false,0,21,7,7,ARCHER:2;ASSASSIN:2;MAGE:7;SPIDER:17,ARCHER:1;GARGOYLE:4;GOBLIN:26;MAGE:2
120,4,125,942403,966638,30,112,GREEN,false,8,0,4,5,ARCHER:8;ASSASSIN:7;GARGOYLE:1;GOBLIN:9,ASSASSIN:4;GARGOYLE:4;MAGE:4;SCORPION_RIDER:5
121,4,125,950322,941727,12,133,BLUE,false,0,12,4,5,ARCHER:7;GOBLIN:4;SCORPION_RIDER:4;SPIDER:15,ARCHER:15;GOLEM:2;SPIDER:10
122,4,125,958241,934284,51,506,BLUE,false,0,7,7,5,ARCHER:1;ASSASSIN:4;GARGOYLE:1;GOBLIN:9;GOLEM:1;SCORPION_RIDER:6,ASSASSIN:8;GARGOYLE:5;GOBLIN:1;GOLEM:1;MAGE:3
123,4,125,966160,942269,30,108,GREEN,false,7,0,6,6,ARCHER:1;GARGOYLE:4;GOBLIN:9;GOLEM:1;MAGE:1;SCORPION_RIDER:6,ARCHER:1;ASSASSIN:7;GOBLIN:1;MAGE:1;SCORPION_RIDER:6;SPIDER:4
124,4,125,974079,918098,18,111,GREEN,false,18,0,5,6,GARGOYLE:7;SCORPION_RIDER:4;SPIDER:14,ASSASSIN:8;GOBLIN:11;MAGE:4;SCORPION_RIDER:1
125,4,125,981998,927043,9,150,GREEN,false,18,0,7,8,ARCHER:21;GARGOYLE:1;GOBLIN:2;MAGE:1,ARCHER:6;MAGE:3;SCORPION_RIDER:8;SPIDER:3
126,4,125,989917,1033328,14,100,BLUE,false,0,33,5,6,ASSASSIN:8;GARGOYLE:6;GOBLIN:8;SPIDER:1,ARCHER:8;SPIDER:28
127,4,125,997836,1042273,66,276,GREEN,false,5,0,10,5,ARCHER:2;ASSASSIN:6;GOBLIN:13;GOLEM:1;SCORPION_RIDER:3,ASSASSIN:3;GOLEM:4;SCORPION_RIDER:4;SPIDER:10
128,4,125,1005755,1017366,21,154,BLUE,false,0,1,6,7,ARCHER:6;ASSASSIN:9;MAGE:1;SCORPION_RIDER:3,GOBLIN:1;GOLEM:1;MAGE:8;SCORPION_RIDER:4;SPIDER:8
129,4,125,1013674,1026311,25,136,BLUE,false,0,28,4,7,GARGOYLE:15;GOLEM:2,ARCHER:5;GARGOYLE:5;GOBLIN:18;SCORPION_RIDER:1;SPIDER:1
130,4,125,1021593,1001524,15,138,BLUE,false,0,15,4,6,ASSASSIN:5;GARGOYLE:2;GOBLIN:12;GOLEM:4,ARCHER:12;GOBLIN:2;MAGE:7;SCORPION_RIDER:1
131,4,125,1029512,1010469,20,96,GREEN,false,21,0,6,4,ARCHER:1;ASSASSIN:7;GARGOYLE:1;GOBLIN:13;SCORPION_RIDER:3,GARGOYLE:6;GOLEM:5;SPIDER:11
132,4,125,1037431,985818,14,104,GREEN,false,10,0,7,4,ARCHER:8;ASSASSIN:6;GARGOYLE:1;GOBLIN:1;SCORPION_RIDER:4,ARCHER:7;ASSASSIN:6;SPIDER:16
133,4,125,1045350,994763,16,119,GREEN,false,12,0,7,5,ARCHER:4;GOBLIN:6;GOLEM:1;SCORPION_RIDER:7;SPIDER:7,ARCHER:4;ASSASSIN:4;GARGOYLE:5;GOBLIN:10;GOLEM:1
134,4,125,1053269,1101048,23,193,BLUE,false,0,12,7,5,ARCHER:4;ASSASSIN:6;GARGOYLE:6;GOBLIN:2;MAGE:2,GARGOYLE:4;GOBLIN:1;MAGE:10;SCORPION_RIDER:3
135,4,125,1061188,1109993,201,1469,,true,7,9,5,7,ASSASSIN:2;GARGOYLE:3;MAGE:6;SCORPION_RIDER:6,ARCHER:2;ASSASSIN:3;GARGOYLE:9;GOLEM:2;SPIDER:3
136,4,125,1069107,1085086,21,199,BLUE,false,0,9,6,5,ARCHER:1;ASSASSIN:5;GOBLIN:7;GOLEM:1;SPIDER:18,ASSASSIN:3;GOLEM:1;SPIDER:31
137,4,125,1077026,1094031,28,109,GREEN,false,7,0,4,4,ARCHER:5;GOLEM:7;MAGE:4,ARCHER:3;ASSASSIN:7;MAGE:7;SPIDER:4
138,4,125,1084945,1069244,33,139,BLUE,false,0,8,6,5,ARCHER:2;ASSASSIN:8;GOBLIN:3;GOLEM:5,GOBLIN:10;MAGE:8;SPIDER:13
139,4,125,1092864,1078189,29,183,BLUE,false,0,10,6,5,GARGOYLE:1;GOLEM:2;MAGE:1;SCORPION_RIDER:11;SPIDER:1,ASSASSIN:7;GARGOYLE:3;MAGE:7;SPIDER:2
140,4,125,1100783,1054018,201,2685,,true,17,8,6,6,ASSASSIN:3;GARGOYLE:2;GOBLIN:10;GOLEM:2;MAGE:5;SPIDER:1,GARGOYLE:2;GOBLIN:6;GOLEM:3;MAGE:1;SCORPION_RIDER:7
141,4,125,1108702,1062003,23,130,BLUE,false,0,14,6,5,ARCHER:1;ASSASSIN:6;GARGOYLE:6;MAGE:2;SPIDER:7,ASSASSIN:4;GARGOYLE:4;GOBLIN:1;MAGE:7;SCORPION_RIDER:2
142,4,125,1116621,1169248,10,101,GREEN,false,12,0,6,4,ARCHER:5;GARGOYLE:2;GOBLIN:16;SCORPION_RIDER:2;SPIDER:7,ASSASSIN:8;GOBLIN:1;SCORPION_RIDER:4;SPIDER:11
143,4,125,1124540,1177105,13,139,BLUE,false,0,9,5,5,GOBLIN:4;SPIDER:37,GARGOYLE:1;MAGE:9;SCORPION_RIDER:3;SPIDER:10
144,4,125,1132459,1153286,16,154,BLUE,false,0,9,7,6,ARCHER:5;GARGOYLE:3;GOBLIN:1;GOLEM:4;MAGE:5,ARCHER:11;ASSASSIN:1;MAGE:3;SCORPION_RIDER:1;SPIDER:11
145,4,125,1140378,1161271,19,154,BLUE,false,0,18,5,5,ARCHER:4;GARGOYLE:2;GOLEM:3;SPIDER:20,ARCHER:12;GOLEM:6;SPIDER:1
146,4,125,1148297,1137444,33,153,BLUE,false,0,6,6,7,GARGOYLE:8;GOBLIN:18;SPIDER:5,ARCHER:3;ASSASSIN:2;GARGOYLE:5;GOBLIN:3;GOLEM:2;SCORPION_RIDER:4
147,4,125,1156216,1145557,38,188,GREEN,false,3,0,6,7,ARCHER:11;GARGOYLE:4;GOBLIN:2;MAGE:5,ASSASSIN:7;GARGOYLE:2;GOBLIN:2;SCORPION_RIDER:7
148,4,125,1164135,1121738,31,75,BLUE,false,0,9,6,5,ARCHER:6;ASSASSIN:1;GOBLIN:2;GOLEM:4;MAGE:6,ASSASSIN:2;GOLEM:3;SCORPION_RIDER:9;SPIDER:3
149,4,125,1172054,1129723,35,191,BLUE,false,0,22,6,5,ARCHER:1;ASSASSIN:6;GARGOYLE:9;MAGE:1;SPIDER:2,ASSASSIN:4;GARGOYLE:3;SPIDER:25
150,4,125,1179973,1236968,33,99,GREEN,false,9,0,4,6,GARGOYLE:5;GOLEM:3;SCORPION_RIDER:5;SPIDER:6,ASSASSIN:5;GARGOYLE:5;GOBLIN:15;GOLEM:1
151,4,125,1187892,1244825,126,774,GREEN,false,14,0,5,4,GARGOYLE:6;GOBLIN:4;MAGE:10,GARGOYLE:5;GOBLIN:8;GOLEM:4;SCORPION_RIDER:3
152,4,125,1195811,1237390,10,124,BLUE,false,0,19,7,4,ARCHER:9;ASSASSIN:7;GARGOYLE:2;GOLEM:1;SPIDER:2,ARCHER:17;SCORPION_RIDER:5
153,4,125,1203730,1212607,11,140,BLUE,false,0,16,8,4,ASSASSIN:4;GOBLIN:11;GOLEM:1;SCORPION_RIDER:3;SPIDER:10,ARCHER:15;ASSASSIN:5;GARGOYLE:2
