game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
671,0,0,true,,,utility,utility,3,75,89833143961,89833087028,9,0,BLUE,false,0,10,4,3,ASSASSIN:5;GARGOYLE:1;GOBLIN:11,GOBLIN:1;SCORPION_RIDER:9
672,0,0,true,,,utility,utility,3,75,89833143961,89833087028,17,0,BLUE,false,0,7,4,3,ASSASSIN:5;GARGOYLE:1;GOBLIN:11,GOBLIN:1;SCORPION_RIDER:9
673,0,0,true,,,utility,cascade,3,75,89841055042,89841036271,10,0,GREEN,false,7,0,3,3,GOBLIN:1;GOLEM:3;SCORPION_RIDER:5,GARGOYLE:3;GOBLIN:1;MAGE:7
674,0,0,true,,,cascade,utility,3,75,89841055042,89841036271,8,0,GREEN,false,8,0,3,3,GOBLIN:1;GOLEM:3;SCORPION_RIDER:5,GARGOYLE:3;GOBLIN:1;MAGE:7
675,0,0,true,,,utility,cascade,3,75,89841062961,89841011356,15,0,GREEN,false,5,0,3,3,GARGOYLE:6;SPIDER:11,GOLEM:3;SPIDER:15
676,0,0,true,,,cascade,utility,3,75,89841062961,89841011356,14,0,GREEN,false,5,0,3,3,GARGOYLE:6;SPIDER:11,GOLEM:3;SPIDER:15
677,0,0,true,,,utility,cascade,3,75,89848974042,89848960119,7,0,GREEN,false,12,0,3,3,ARCHER:12;GOBLIN:1,MAGE:3;SPIDER:18
678,0,0,true,,,cascade,utility,3,75,89848974042,89848960119,8,0,GREEN,false,8,0,3,3,ARCHER:12;GOBLIN:1,MAGE:3;SPIDER:18
679,0,0,true,,,utility,cascade,3,75,89848981961,89848969060,17,0,BLUE,false,0,9,2,3,SPIDER:25,GARGOYLE:10;GOBLIN:1
680,0,0,true,,,cascade,utility,3,75,89848981961,89848969060,11,0,BLUE,false,0,7,2,3,SPIDER:25,GARGOYLE:10;GOBLIN:1
681,0,0,true,,,utility,cascade,3,75,89856893042,89856917215,25,0,BLUE,false,0,4,3,3,GARGOYLE:4;GOBLIN:2;SCORPION_RIDER:5,GOBLIN:1;GOLEM:7
682,0,0,true,,,cascade,utility,3,75,89856893042,89856917215,21,0,BLUE,false,0,4,3,3,GARGOYLE:4;GOBLIN:2;SCORPION_RIDER:5,GOBLIN:1;GOLEM:7
683,0,0,true,,,utility,cascade,3,75,89856900961,89856909772,8,0,GREEN,false,18,0,4,3,ARCHER:1;GOBLIN:20;SCORPION_RIDER:1,ARCHER:7;GARGOYLE:4;GOBLIN:1
684,0,0,true,,,cascade,utility,3,75,89856900961,89856909772,21,0,BLUE,false,0,2,4,3,ARCHER:1;GOBLIN:20;SCORPION_RIDER:1,ARCHER:7;GARGOYLE:4;GOBLIN:1
685,0,0,true,,,utility,utility,3,75,89864812042,89864857767,201,0,,true,15,12,3,3,SCORPION_RIDER:6;SPIDER:9,ARCHER:8;GOBLIN:1;SCORPION_RIDER:3
686,0,0,true,,,utility,utility,3,75,89864812042,89864857767,201,0,,true,15,12,3,3,SCORPION_RIDER:6;SPIDER:9,ARCHER:8;GOBLIN:1;SCORPION_RIDER:3
687,0,0,true,,,utility,utility,3,75,89864819961,89864833620,12,0,,false,11,25,3,3,GARGOYLE:10;GOBLIN:1,GOBLIN:12;SPIDER:13
688,0,0,true,,,utility,utility,3,75,89864819961,89864833620,12,0,,false,11,25,3,3,GARGOYLE:10;GOBLIN:1,GOBLIN:12;SPIDER:13
689,0,0,true,,,utility,cascade,3,75,89872731042,89872782607,13,0,BLUE,false,0,19,2,2,SPIDER:25,GOBLIN:12;SPIDER:13
690,0,0,true,,,cascade,utility,3,75,89872731042,89872782607,9,0,BLUE,false,0,21,2,2,SPIDER:25,GOBLIN:12;SPIDER:13
691,0,0,true,,,utility,cascade,3,75,89872738961,89872790588,23,0,BLUE,false,0,6,3,3,GOBLIN:12;GOLEM:3;SCORPION_RIDER:1,GARGOYLE:6;GOBLIN:11
692,0,0,true,,,cascade,utility,3,75,89872738961,89872790588,16,0,BLUE,false,0,6,3,3,GOBLIN:12;GOLEM:3;SCORPION_RIDER:1,GARGOYLE:6;GOBLIN:11
693,0,0,true,,,utility,cascade,3,75,11086600042,11086645703,9,0,BLUE,false,0,4,2,4,GOBLIN:10;SPIDER:15,ARCHER:4;GOBLIN:1;GOLEM:4;SCORPION_RIDER:1
694,0,0,true,,,cascade,utility,3,75,11086600042,11086645703,8,0,GREEN,false,12,0,2,4,GOBLIN:10;SPIDER:15,ARCHER:4;GOBLIN:1;GOLEM:4;SCORPION_RIDER:1
695,0,0,true,,,utility,cascade,3,75,11086607961,11086653684,11,0,BLUE,false,0,4,2,3,MAGE:7;SCORPION_RIDER:3,GARGOYLE:2;MAGE:8;SPIDER:1
696,0,0,true,,,cascade,utility,3,75,11086607961,11086653684,9,0,BLUE,false,0,6,2,3,MAGE:7;SCORPION_RIDER:3,GARGOYLE:2;MAGE:8;SPIDER:1
697,0,0,true,,,utility,utility,3,75,11355846042,11355859767,9,0,BLUE,false,0,9,3,3,GOBLIN:1;MAGE:8;SPIDER:5,ASSASSIN:7;GARGOYLE:3;GOBLIN:1
698,0,0,true,,,utility,utility,3,75,11355846042,11355859767,9,0,BLUE,false,0,9,3,3,GOBLIN:1;MAGE:8;SPIDER:5,ASSASSIN:7;GARGOYLE:3;GOBLIN:1
699,0,0,true,,,utility,utility,3,75,11355853961,11355834916,24,0,,false,14,6,3,3,ARCHER:1;GARGOYLE:5;SPIDER:11,ASSASSIN:3;GOBLIN:2;SCORPION_RIDER:6
