game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
1,0,0,true,,,utility,curriculum_pass,3,75,332598042,332649911,48,0,,false,18,18,2,2,GOLEM:3;SPIDER:15,GOLEM:3;SPIDER:15
2,0,0,true,,,curriculum_pass,utility,3,75,332598042,332649911,48,0,,false,18,18,2,2,GOLEM:3;SPIDER:15,GOLEM:3;SPIDER:15
3,0,0,true,,,utility,curriculum_pass,3,75,332605961,332657828,48,0,,false,17,17,3,3,GOBLIN:12;GOLEM:1;MAGE:4,GOBLIN:12;GOLEM:1;MAGE:4
4,0,0,true,,,curriculum_pass,utility,3,75,332605961,332657828,87,0,BLUE,false,0,14,3,3,GOBLIN:12;GOLEM:1;MAGE:4,GOBLIN:12;GOLEM:1;MAGE:4
5,0,0,true,,,utility,curriculum_pass,3,75,332613880,332633685,55,0,,false,12,13,4,4,ARCHER:1;ASSASSIN:5;GOBLIN:11,ARCHER:1;ASSASSIN:5;GOBLIN:11
6,0,0,true,,,curriculum_pass,utility,3,75,332613880,332633685,58,0,,false,10,14,4,4,ARCHER:1;ASSASSIN:5;GOBLIN:11,ARCHER:1;ASSASSIN:5;GOBLIN:11
7,0,0,true,,,utility,curriculum_pass,3,75,332621799,332642634,48,0,,false,15,15,3,3,GOBLIN:11;GOLEM:4,GOBLIN:11;GOLEM:4
8,0,0,true,,,curriculum_pass,utility,3,75,332621799,332642634,48,0,,false,15,15,3,3,GOBLIN:11;GOLEM:4,GOBLIN:11;GOLEM:4
9,0,0,true,,,utility,curriculum_pass,3,75,332629718,332617851,61,0,,false,17,12,4,4,ARCHER:1;GOBLIN:23,ARCHER:1;GOBLIN:23
10,0,0,true,,,curriculum_pass,utility,3,75,332629718,332617851,48,0,,false,24,24,4,4,ARCHER:1;GOBLIN:23,ARCHER:1;GOBLIN:23
11,0,0,true,,,utility,curriculum_pass,3,75,340517042,340475423,61,0,,false,11,4,3,3,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8
12,0,0,true,,,curriculum_pass,utility,3,75,340517042,340475423,48,0,,false,15,15,3,3,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8,GOBLIN:1;SCORPION_RIDER:6;SPIDER:8
13,0,0,true,,,utility,curriculum_pass,3,75,340524961,340467980,48,0,,false,11,11,3,3,GARGOYLE:10;SPIDER:1,GARGOYLE:10;SPIDER:1
14,0,0,true,,,curriculum_pass,utility,3,75,340524961,340467980,48,0,,false,11,11,3,3,GARGOYLE:10;SPIDER:1,GARGOYLE:10;SPIDER:1
15,0,0,true,,,utility,curriculum_pass,3,75,340532880,340574269,28,0,GREEN,false,7,0,3,3,GARGOYLE:5;GOBLIN:4;MAGE:4,GARGOYLE:5;GOBLIN:4;MAGE:4
16,0,0,true,,,curriculum_pass,utility,3,75,340532880,340574269,48,0,,false,13,13,3,3,GARGOYLE:5;GOBLIN:4;MAGE:4,GARGOYLE:5;GOBLIN:4;MAGE:4
17,0,0,true,,,utility,curriculum_pass,3,75,340540799,340583378,48,0,,false,11,11,3,3,GARGOYLE:10;GOBLIN:1,GARGOYLE:10;GOBLIN:1
18,0,0,true,,,curriculum_pass,utility,3,75,340540799,340583378,48,0,,false,11,11,3,3,GARGOYLE:10;GOBLIN:1,GARGOYLE:10;GOBLIN:1
